id,season,team1,team2,winner
61,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
67,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
71,2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
74,2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
79,2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
83,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
85,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers
87,2008,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
91,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
96,2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians
103,2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
107,2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
110,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
114,2008,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
116,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
117,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
118,2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians
122,2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
125,2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
131,2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers
137,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
141,2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
144,2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
149,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
152,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
159,2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
162,2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
166,2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
169,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
173,2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
179,2010,Chennai Super Kings,Deccan Chargers,Deccan Chargers
182,2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
185,2010,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
190,2010,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
192,2010,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
194,2010,Chennai Super Kings,Mumbai Indians,Mumbai Indians
198,2010,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
202,2010,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
206,2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
211,2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
216,2010,Chennai Super Kings,Deccan Chargers,Deccan Chargers
222,2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
224,2010,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
