id,season,team1,team2,winner
64,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
66,2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
68,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
72,2008,Deccan Chargers,Mumbai Indians,Deccan Chargers
77,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
80,2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
85,2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers
89,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
92,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
98,2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
102,2008,Deccan Chargers,Mumbai Indians,Mumbai Indians
108,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
111,2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
114,2008,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
121,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
124,2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
128,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
131,2009,Deccan Chargers,Chennai Super Kings,Deccan Chargers
136,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
140,2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
144,2009,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
147,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
151,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
155,2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers
158,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
163,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
164,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
171,2009,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
172,2009,Deccan Chargers,Delhi Daredevils,Deccan Chargers
174,2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
175,2010,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
179,2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers
186,2010,Deccan Chargers,Kings XI Punjab,Deccan Chargers
189,2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers
195,2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
199,2010,Deccan Chargers,Mumbai Indians,Mumbai Indians
204,2010,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
207,2010,Deccan Chargers,Mumbai Indians,Mumbai Indians
210,2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
214,2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
216,2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers
220,2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
225,2010,Deccan Chargers,Kings XI Punjab,Deccan Chargers
229,2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers
232,2010,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
233,2010,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
236,2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
240,2011,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
245,2011,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
249,2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
253,2011,Deccan Chargers,Delhi Daredevils,Deccan Chargers
260,2011,Deccan Chargers,Mumbai Indians,Mumbai Indians
265,2011,Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers
272,2011,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
275,2011,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
279,2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
286,2011,Deccan Chargers,Pune Warriors,Pune Warriors
292,2011,Deccan Chargers,Mumbai Indians,Deccan Chargers
295,2011,Deccan Chargers,Pune Warriors,Deccan Chargers
300,2011,Deccan Chargers,Kings XI Punjab,Deccan Chargers
313,2012,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
316,2012,Deccan Chargers,Mumbai Indians,Mumbai Indians
323,2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
328,2012,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
331,2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
337,2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
341,2012,Deccan Chargers,Pune Warriors,Deccan Chargers
346,2012,Deccan Chargers,Mumbai Indians,Mumbai Indians
348,2012,Deccan Chargers,Pune Warriors,Deccan Chargers
352,2012,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
356,2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
359,2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
366,2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
373,2012,Deccan Chargers,Rajasthan Royals,Deccan Chargers
376,2012,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
