id,season,team1,team2,winner
5,2017,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
9,2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils
15,2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
18,2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
21,2017,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
24,2017,Delhi Daredevils,Mumbai Indians,Mumbai Indians
31,2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
35,2017,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
39,2017,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils
41,2017,Delhi Daredevils,Gujarat Lions,Delhi Daredevils
44,2017,Delhi Daredevils,Mumbai Indians,Mumbai Indians
49,2017,Delhi Daredevils,Gujarat Lions,Delhi Daredevils
51,2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils
55,2017,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
62,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
66,2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
73,2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
76,2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
79,2008,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
82,2008,Delhi Daredevils,Mumbai Indians,Mumbai Indians
87,2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
93,2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
95,2008,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
98,2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
100,2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
104,2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
109,2008,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
115,2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
120,2009,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
125,2009,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
129,2009,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
133,2009,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
136,2009,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
141,2009,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
146,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
150,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
154,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
158,2009,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
161,2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
165,2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
167,2009,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
170,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
172,2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers
177,2010,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
180,2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
183,2010,Delhi Daredevils,Mumbai Indians,Mumbai Indians
185,2010,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
189,2010,Delhi Daredevils,Deccan Chargers,Deccan Chargers
197,2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
200,2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
203,2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
209,2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
