id,season,team1,team2,winner
3,2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
6,2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
13,2017,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
16,2017,Gujarat Lions,Mumbai Indians,Mumbai Indians
20,2017,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
23,2017,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
26,2017,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
30,2017,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
34,2017,Gujarat Lions,Mumbai Indians,Mumbai Indians
38,2017,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant
41,2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils
46,2017,Gujarat Lions,Kings XI Punjab,Gujarat Lions
49,2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils
52,2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
579,2016,Gujarat Lions,Kings XI Punjab,Gujarat Lions
582,2016,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions
585,2016,Gujarat Lions,Mumbai Indians,Gujarat Lions
591,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
595,2016,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
599,2016,Gujarat Lions,Delhi Daredevils,Gujarat Lions
601,2016,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions
604,2016,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
607,2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils
610,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
614,2016,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
620,2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
627,2016,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
630,2016,Gujarat Lions,Mumbai Indians,Gujarat Lions
633,2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
635,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
