id,season,team1,team2,winner
3,2017,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders
7,2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
11,2017,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
14,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
18,2017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
23,2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
27,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
29,2017,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders
31,2017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
36,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
40,2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant
45,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
48,2017,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
53,2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
57,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
58,2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
60,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
64,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
71,2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
75,2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
78,2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
81,2008,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
88,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
92,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
95,2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
99,2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
103,2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
105,2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
112,2008,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
121,2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers
123,2009,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
126,2009,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
132,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
134,2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
138,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
142,2009,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
146,2009,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
154,2009,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
156,2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
163,2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers
166,2009,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
168,2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
175,2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
178,2010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
182,2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
187,2010,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
191,2010,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
196,2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
200,2010,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
204,2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
208,2010,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
213,2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
217,2010,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
222,2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
227,2010,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
230,2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
235,2011,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
240,2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
246,2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
251,2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
255,2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala
258,2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
266,2011,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
270,2011,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
275,2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
278,2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala
281,2011,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
291,2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
298,2011,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
303,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
305,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
309,2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
314,2012,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
317,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
322,2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
325,2012,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
330,2012,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
337,2012,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
344,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
347,2012,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
353,2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
357,2012,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
363,2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
368,2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
370,2012,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
375,2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
378,2012,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
381,2012,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
382,2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
389,2013,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
392,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
397,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
400,2013,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
406,2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
413,2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
415,2013,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
418,2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
424,2013,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
427,2013,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
434,2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
437,2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
441,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
445,2013,Kolkata Knight Riders,Pune Warriors,Pune Warriors
453,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
458,2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
463,2014,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
468,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
472,2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
476,2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
478,2014,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
482,2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
485,2014,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
491,2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
497,2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
500,2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
504,2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
506,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
511,2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
514,2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
517,2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
518,2015,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
522,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
527,2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
532,2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
535,2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
537,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
545,2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
547,2015,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
550,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
555,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
560,2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
567,2015,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
570,2015,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
578,2016,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
581,2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
584,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
589,2016,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
596,2016,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders
