id,season,team1,team2,winner
237,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore
244,2011,Kochi Tuskers Kerala,Pune Warriors,Pune Warriors
247,2011,Kochi Tuskers Kerala,Mumbai Indians,Kochi Tuskers Kerala
252,2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala
255,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala
261,2011,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals
265,2011,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers
269,2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils
274,2011,Kochi Tuskers Kerala,Delhi Daredevils,Kochi Tuskers Kerala
278,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala
283,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore
290,2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab
294,2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala
297,2011,Kochi Tuskers Kerala,Chennai Super Kings,Chennai Super Kings
