id,season,team1,team2,winner
4,2017,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab
8,2017,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
11,2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
15,2017,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
19,2017,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
22,2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians
26,2017,Kings XI Punjab,Gujarat Lions,Kings XI Punjab
32,2017,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
35,2017,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
42,2017,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
46,2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions
48,2017,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
50,2017,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
54,2017,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant
61,2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
65,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
69,2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
73,2008,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
77,2008,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
81,2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
84,2008,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
91,2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
94,2008,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
97,2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
100,2008,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
106,2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
108,2008,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
112,2008,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
116,2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
120,2009,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
123,2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
127,2009,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
130,2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
135,2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
139,2009,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
142,2009,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
145,2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
149,2009,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
151,2009,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
