id,season,team1,team2,winner
2,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
7,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
10,2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
12,2017,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
16,2017,Mumbai Indians,Gujarat Lions,Mumbai Indians
22,2017,Mumbai Indians,Kings XI Punjab,Mumbai Indians
24,2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians
28,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
34,2017,Mumbai Indians,Gujarat Lions,Mumbai Indians
37,2017,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
44,2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians
47,2017,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
50,2017,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
53,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
56,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
58,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
59,2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians
63,2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
67,2008,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
69,2008,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
72,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers
75,2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
82,2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians
86,2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians
90,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
96,2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians
99,2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
102,2008,Mumbai Indians,Deccan Chargers,Mumbai Indians
106,2008,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
109,2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
113,2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
118,2009,Mumbai Indians,Chennai Super Kings,Mumbai Indians
128,2009,Mumbai Indians,Deccan Chargers,Deccan Chargers
132,2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
135,2009,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
138,2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
143,2009,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
147,2009,Mumbai Indians,Deccan Chargers,Deccan Chargers
150,2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
153,2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
157,2009,Mumbai Indians,Kings XI Punjab,Mumbai Indians
160,2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
162,2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
170,2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
176,2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians
183,2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians
188,2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
191,2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
194,2010,Mumbai Indians,Chennai Super Kings,Mumbai Indians
199,2010,Mumbai Indians,Deccan Chargers,Mumbai Indians
201,2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians
207,2010,Mumbai Indians,Deccan Chargers,Mumbai Indians
211,2010,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
215,2010,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
219,2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians
221,2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians
226,2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
230,2010,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
231,2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
234,2010,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
238,2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians
242,2011,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
247,2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala
254,2011,Mumbai Indians,Pune Warriors,Mumbai Indians
257,2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians
260,2011,Mumbai Indians,Deccan Chargers,Mumbai Indians
267,2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
273,2011,Mumbai Indians,Kings XI Punjab,Mumbai Indians
277,2011,Mumbai Indians,Pune Warriors,Mumbai Indians
282,2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians
287,2011,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
