id,season,team1,team2,winner
239,2011,Pune Warriors,Kings XI Punjab,Pune Warriors
244,2011,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors
250,2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils
254,2011,Pune Warriors,Mumbai Indians,Mumbai Indians
262,2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings
264,2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings
268,2011,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
271,2011,Pune Warriors,Rajasthan Royals,Rajasthan Royals
277,2011,Pune Warriors,Mumbai Indians,Mumbai Indians
284,2011,Pune Warriors,Kings XI Punjab,Pune Warriors
286,2011,Pune Warriors,Deccan Chargers,Pune Warriors
295,2011,Pune Warriors,Deccan Chargers,Deccan Chargers
298,2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
301,2011,Pune Warriors,Delhi Daredevils,
310,2012,Pune Warriors,Mumbai Indians,Pune Warriors
315,2012,Pune Warriors,Kings XI Punjab,Pune Warriors
321,2012,Pune Warriors,Kings XI Punjab,Kings XI Punjab
324,2012,Pune Warriors,Chennai Super Kings,Pune Warriors
329,2012,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
332,2012,Pune Warriors,Chennai Super Kings,Chennai Super Kings
335,2012,Pune Warriors,Delhi Daredevils,Pune Warriors
339,2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils
341,2012,Pune Warriors,Deccan Chargers,Deccan Chargers
348,2012,Pune Warriors,Deccan Chargers,Deccan Chargers
351,2012,Pune Warriors,Mumbai Indians,Mumbai Indians
353,2012,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
358,2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals
362,2012,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
365,2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals
375,2012,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
384,2013,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad
387,2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab
393,2013,Pune Warriors,Rajasthan Royals,Pune Warriors
395,2013,Pune Warriors,Mumbai Indians,Mumbai Indians
399,2013,Pune Warriors,Chennai Super Kings,Pune Warriors
402,2013,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad
409,2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab
411,2013,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
419,2013,Pune Warriors,Delhi Daredevils,Delhi Daredevils
422,2013,Pune Warriors,Chennai Super Kings,Chennai Super Kings
426,2013,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
431,2013,Pune Warriors,Rajasthan Royals,Rajasthan Royals
437,2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
439,2013,Pune Warriors,Mumbai Indians,Mumbai Indians
445,2013,Pune Warriors,Kolkata Knight Riders,Pune Warriors
451,2013,Pune Warriors,Delhi Daredevils,Pune Warriors
