id,season,team1,team2,winner
1,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
5,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
8,2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
12,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
17,2017,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant
20,2017,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore
27,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
30,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions
33,2017,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant
37,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
42,2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
45,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
55,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
60,2008,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
63,2008,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
70,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
74,2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
76,2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
80,2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
84,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
88,2008,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
90,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
94,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
101,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
104,2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
107,2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
111,2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
119,2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
122,2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
124,2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
127,2009,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
129,2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
134,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
139,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
143,2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
148,2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
153,2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
156,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
159,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
167,2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
171,2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
173,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
174,2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
178,2010,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
181,2010,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
184,2010,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
188,2010,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
192,2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
197,2010,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
202,2010,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
205,2010,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
209,2010,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
214,2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
217,2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
220,2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
223,2010,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
226,2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
231,2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
233,2010,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
237,2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore
242,2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
245,2011,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
248,2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
258,2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
263,2011,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
268,2011,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
280,2011,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
283,2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore
288,2011,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
291,2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
296,2011,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
302,2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
304,2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
306,2011,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
307,2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
312,2012,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
