id,season,team1,team2,winner
2,2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
4,2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab
9,2017,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils
13,2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions
17,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant
25,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant
28,2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
29,2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
33,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant
38,2017,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant
40,2017,Rising Pune Supergiant,Kolkata Knight Riders,Rising Pune Supergiant
43,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant
51,2017,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils
54,2017,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant
56,2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
59,2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians
