id,season,team1,team2,winner
62,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
65,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
68,2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
70,2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
78,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
83,2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
86,2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians
89,2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
93,2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
97,2008,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
101,2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
105,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
110,2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
113,2008,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
115,2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
117,2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
119,2009,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
126,2009,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
130,2009,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
133,2009,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
137,2009,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
140,2009,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
145,2009,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
148,2009,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
152,2009,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
155,2009,Rajasthan Royals,Deccan Chargers,Deccan Chargers
160,2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
165,2009,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
168,2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
176,2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians
180,2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
184,2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
187,2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
193,2010,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
195,2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
198,2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
203,2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
206,2010,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
210,2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
212,2010,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
219,2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians
223,2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
227,2010,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
236,2011,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
241,2011,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
246,2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
251,2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
256,2011,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
261,2011,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals
267,2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
271,2011,Rajasthan Royals,Pune Warriors,Rajasthan Royals
276,2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
285,2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
288,2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
294,2011,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala
299,2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
311,2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
314,2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
319,2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians
322,2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
326,2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
328,2012,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
334,2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
