id,season,team1,team2,winner
1,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
6,2017,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
10,2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
14,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
19,2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
21,2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
25,2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
32,2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
36,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
39,2017,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
43,2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
47,2017,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
52,2017,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
57,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
384,2013,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad
388,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
394,2013,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
397,2013,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
402,2013,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad
405,2013,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
414,2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
416,2013,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
423,2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
428,2013,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
432,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
